36.22,15.0
37.22,16.0
37.480000000000004,16.0
42.040000000000006,15.0
49.61,16.0
44.54,19.0
37.290000000000006,21.0
15.370000000000001,13.0
12.780000000000001,7.0
11.3,4.0
10.36,3.0
9.47,3.0
9.4,3.0
9.15,2.0
8.629999999999999,2.0
8.91,2.0
8.559999999999999,2.0
8.8,2.0
8.85,2.0
9.16,2.0
9.3,2.0
9.54,2.0
12.07,2.0
24.9,3.0
32.58,5.0
37.11,8.0
40.42,11.0
43.36,14.0
49.92,16.0
55.5,18.0
59.510000000000005,21.0
68.34,27.0
73.05000000000001,30.0
73.86,34.0
74.27000000000001,36.0
76.15,37.0
77.37,38.0
79.32,39.0
83.78,40.0
85.64,42.0
87.82,44.0
89.56,46.0
92.09,48.0
94.14,51.0
94.7,53.0
95.48,54.0
96.03,53.0
96.83,52.0
97.4,53.0
96.83,53.0
90.51,53.0
82.84,50.0
77.99000000000001,42.0
74.65,36.0
52.6,29.0
47.17,23.0
40.49,18.0
40.849999999999994,15.0
39.980000000000004,13.0
39.63,13.0
40.94,12.0
40.51,13.0
31.479999999999997,13.0
30.21,11.0
29.950000000000003,9.0
30.21,8.0
29.95,9.0
27.810000000000002,9.0
26.94,9.0
30.75,8.0
41.79,9.0
51.34,12.0
60.65,16.0
64.45,21.0
70.32,26.0
75.47,29.0
80.15,32.0
91.03,35.0
92.84,44.0
94.7,47.0
96.6,48.0
97.4,51.0
97.97999999999999,52.0
97.4,52.0
92.31,51.0
80.59,48.0
80.36,36.0
81.92,33.0
81.47,33.0
84.91,34.0
87.78,35.0
88.25999999999999,37.0
84.21000000000001,39.0
73.65,35.0
73.65,30.0
73.45,27.0
74.47,27.0
75.27,28.0
74.25,29.0
73.45,29.0
72.47,29.0
63.58,26.0
60.86,25.0
59.39,23.0
60.19,21.0
60.04,21.0
58.739999999999995,21.0
56.57,21.0
54.96,20.0
57.33,19.0
59.54,20.0
61.17,21.0
61.83,22.0
59.989999999999995,23.0
57.91,23.0
56.980000000000004,22.0
56.980000000000004,21.0
